customer_id,customer_region,customer_age_band,customer_tenure_months,preferred_language,accessibility_support_flag
CUST0040150,Scotland,55-64,43,English,0
CUST0031580,West Midlands,65+,31,English,0
CUST0114820,Yorkshire,55-64,53,Punjabi,0
CUST0096847,Yorkshire,35-44,39,English,0
CUST0170029,Yorkshire,45-54,21,English,0
CUST0110776,Yorkshire,25-34,33,English,0
CUST0111155,London,35-44,41,English,0
CUST0040602,London,45-54,26,English,0
CUST0015023,South West,25-34,110,English,0
CUST0132441,Northern Ireland,25-34,9,English,0
CUST0090287,South West,25-34,41,English,0
CUST0032496,Yorkshire,55-64,29,English,0
CUST0093940,South West,25-34,22,English,0
CUST0019471,Northern Ireland,45-54,16,English,0
CUST0049609,Wales,65+,47,English,0
CUST0059346,Scotland,35-44,25,English,0
CUST0177157,Yorkshire,45-54,21,English,0
CUST0194902,North West,35-44,20,English,0
CUST0115391,Wales,18-24,6,English,1
CUST0174405,London,35-44,23,English,0
CUST0048200,North West,45-54,78,English,0
CUST0026049,Yorkshire,55-64,58,English,0
CUST0176043,Yorkshire,25-34,78,English,0
CUST0094907,South East,18-24,9,Polish,0
CUST0065992,Scotland,25-34,23,English,1
CUST0196751,London,25-34,25,English,0
CUST0192712,South East,25-34,20,English,0
CUST0080379,Wales,45-54,12,English,0
CUST0164459,Scotland,55-64,23,Romanian,0
CUST0109040,Wales,55-64,6,English,0
CUST0115654,West Midlands,18-24,19,English,0
CUST0077373,London,35-44,19,Polish,0
CUST0053097,Yorkshire,55-64,14,English,0
CUST0093551,West Midlands,65+,11,English,0
CUST0111591,South East,45-54,48,English,0
CUST0166958,East Midlands,55-64,20,English,0
CUST0058168,Wales,55-64,12,English,0
CUST0148107,Wales,55-64,82,English,0
CUST0055103,,45-54,46,English,0
CUST0012755,East Midlands,25-34,24,English,0
CUST0030046,East Midlands,18-24,24,English,0
CUST0007820,West Midlands,25-34,28,English,0
CUST0017313,West Midlands,55-64,16,English,0
CUST0199086,London,25-34,26,English,0
CUST0102991,Wales,55-64,41,English,0
CUST0179647,South West,25-34,19,English,0
CUST0128865,London,35-44,33,English,0
CUST0093827,Wales,25-34,29,English,0
CUST0188327,Scotland,25-34,154,English,0
CUST0011121,North West,35-44,6,English,0
CUST0084664,,65+,8,English,0
CUST0030590,Yorkshire,25-34,19,English,0
CUST0134838,Wales,45-54,63,English,0
CUST0184798,London,65+,16,English,0
CUST0150895,North West,55-64,42,Punjabi,0
CUST0119597,South West,25-34,47,Romanian,0
CUST0197126,South East,35-44,34,English,0
CUST0114486,Yorkshire,45-54,10,English,0
CUST0121786,North West,55-64,25,English,0
CUST0170809,North West,25-34,31,English,0
CUST0129957,South East,45-54,3,Punjabi,0
CUST0170839,South East,55-64,22,English,0
CUST0178529,,35-44,38,English,0
CUST0084338,South East,25-34,47,English,0
CUST0034353,West Midlands,18-24,40,English,0
CUST0067472,East Midlands,55-64,11,English,0
CUST0055940,Northern Ireland,35-44,28,English,0
CUST0077664,South West,25-34,95,English,0
CUST0007510,North West,45-54,61,English,0
CUST0174798,South East,55-64,62,English,0
CUST0116909,South East,45-54,33,English,0
CUST0126489,South East,45-54,21,English,0
CUST0133726,London,65+,44,English,0
