order_id,customer_id,order_timestamp,product_category,order_value,dispatch_state,delivery_status,days_since_delivery
ORD00001001,CUST0040150,2025-12-07T09:15,electronics,192.4,dispatched,delivered,12
ORD00001002,CUST0031580,2025-08-22T21:20,toys,128.41,dispatched,delivered,18
ORD00001003,CUST0114820,2025-01-01T07:23,toys,100.69,dispatched,delivered,8
ORD00001004,CUST0096847,2025-10-02T14:24,beauty,187.32,dispatched,delivered,100
ORD00001005,CUST0170029,2025-08-04T23:34,home,126.81,dispatched,delivered,159
ORD00001006,CUST0110776,2025-12-19T16:14,toys,95.75,dispatched,delivered,23
ORD00001007,CUST0111155,2025-05-03T23:41,grocery,37.58,dispatched,delivered,6
ORD00001008,CUST0040602,2025-11-13T03:30,appliances,184.04,dispatched,delayed,42
ORD00001009,CUST0015023,2025-06-30T07:18,home,175.33,dispatched,delivered,193
ORD00001010,CUST0132441,2025-09-02T05:47,grocery,66.59,dispatched,delivered,130
ORD00001011,CUST0090287,2025-11-02T03:27,fashion,25.04,dispatched,delivered,69
ORD00001012,CUST0032496,2025-06-18T18:50,appliances,99.17,processing,delivered,204
ORD00001013,CUST0093940,2025-10-10T09:19,sports,82.67,dispatched,delivered,93
ORD00001014,CUST0019471,2025-04-08T09:48,appliances,364.87,dispatched,delivered,276
ORD00001015,CUST0049609,2025-12-04T19:51,home,84.64,dispatched,delayed,32
ORD00001016,CUST0059346,2025-01-11T18:54,appliances,97.77,dispatched,delivered,364
ORD00001017,CUST0177157,2025-07-27T20:09,home,19.63,dispatched,delayed,163
ORD00001018,CUST0194902,2025-12-04T00:37,home,142.99,dispatched,delivered,37
ORD00001019,CUST0115391,2025-05-29T09:29,fashion,81.81,dispatched,delayed,223
ORD00001020,CUST0174405,2025-02-20T10:44,beauty,51.71,dispatched,delivered,322
ORD00001021,CUST0048200,2025-07-25T18:12,appliances,266.54,dispatched,delivered,170
ORD00001022,CUST0026049,2025-09-15T23:50,toys,64.61,dispatched,delayed,111
ORD00001023,CUST0176043,2025-02-07T09:31,fashion,72.22,processing,delayed,329
ORD00001024,CUST0094907,2025-01-23T04:19,fashion,527.91,dispatched,delivered,351
ORD00001025,CUST0065992,2025-03-22T09:05,home,454.2,dispatched,delayed,284
ORD00001026,CUST0196751,2025-05-16T01:00,beauty,56.46,dispatched,delayed,233
ORD00001027,CUST0192712,2025-11-22T02:28,electronics,537.68,dispatched,delayed,41
ORD00001028,CUST0080379,2025-12-06T03:09,home,110.88,dispatched,delivered,35
ORD00001029,CUST0164459,2025-10-14T08:08,sports,121.67,dispatched,delivered,88
ORD00001030,CUST0109040,2025-10-03T21:20,toys,83.42,dispatched,delayed,93
ORD00001031,CUST0115654,2025-12-24T22:00,sports,112.53,dispatched,delivered,17
ORD00001032,CUST0077373,2025-05-18T23:28,appliances,168.42,dispatched,delivered,236
ORD00001033,CUST0053097,2025-04-09T14:34,electronics,462.01,dispatched,delivered,277
ORD00001034,CUST0093551,2025-03-19T22:11,grocery,108.02,processing,delivered,295
ORD00001035,CUST0111591,2025-05-25T04:54,home,113.41,dispatched,delivered,230
ORD00001036,CUST0166958,2025-01-28T05:56,electronics,127.68,dispatched,delayed,336
ORD00001037,CUST0058168,2025-05-06T09:23,beauty,48.01,dispatched,delayed,243
ORD00001038,CUST0148107,2025-06-07T06:44,grocery,70.79,dispatched,delivered,216
ORD00001039,CUST0055103,2025-12-24T01:10,fashion,58.24,dispatched,delivered,17
ORD00001040,CUST0012755,2025-09-08T17:08,fashion,179.79,dispatched,delivered,123
ORD00001041,CUST0030046,2025-03-30T07:10,sports,171.42,dispatched,delivered,287
ORD00001042,CUST0007820,2025-05-28T13:23,appliances,290.76,dispatched,delivered,226
ORD00001043,CUST0017313,2025-02-15T17:49,fashion,122.08,dispatched,delivered,328
ORD00001044,CUST0199086,2025-02-11T23:28,electronics,129.03,dispatched,delivered,333
ORD00001045,CUST0102991,2025-04-12T10:08,fashion,85.97,processing,delivered,273
ORD00001046,CUST0179647,2025-12-11T04:21,fashion,111.32,dispatched,delivered,31
ORD00001047,CUST0128865,2025-04-20T04:38,home,91.85,dispatched,delivered,265
ORD00001048,CUST0093827,2025-05-14T22:53,home,447.98,dispatched,delivered,241
ORD00001049,CUST0188327,2025-03-06T12:28,home,41.64,dispatched,delivered,311
ORD00001050,CUST0011121,2025-04-28T20:58,fashion,130.49,dispatched,delivered,257
ORD00001051,CUST0084664,2025-03-22T21:15,fashion,107.14,dispatched,delivered,294
ORD00001052,CUST0030590,2025-05-13T22:57,fashion,170.61,dispatched,delivered,240
ORD00001053,CUST0134838,2025-11-04T23:37,sports,185.14,dispatched,delivered,68
ORD00001054,CUST0184798,2025-05-26T13:01,beauty,90.05,dispatched,delayed,223
ORD00001055,CUST0150895,2025-09-07T11:53,electronics,645.99,dispatched,delivered,124
ORD00001056,CUST0119597,2025-09-18T02:18,home,28.17,processing,delayed,105
ORD00001057,CUST0197126,2025-01-02T14:40,appliances,269.83,dispatched,delivered,372
ORD00001058,CUST0114486,2025-08-14T02:17,appliances,109.34,dispatched,delivered,149
ORD00001059,CUST0121786,2025-03-05T02:57,beauty,90.82,dispatched,delayed,306
ORD00001060,CUST0170809,2025-07-25T09:12,appliances,293.63,dispatched,delivered,168
ORD00001061,CUST0129957,2025-12-15T22:26,electronics,106.12,dispatched,delivered,25
ORD00001062,CUST0170839,2025-08-06T15:36,electronics,96.81,dispatched,delivered,158
ORD00001063,CUST0178529,2025-08-03T15:23,home,92.71,dispatched,delayed,151
ORD00001064,CUST0084338,2025-10-22T16:13,electronics,87.9,dispatched,delayed,0
ORD00001065,CUST0034353,2025-05-20T14:27,sports,64.83,dispatched,delivered,235
ORD00001066,CUST0067472,2025-07-01T22:16,appliances,277.86,dispatched,delivered,194
ORD00001067,CUST0055940,2025-04-20T12:02,toys,153.76,processing,delivered,266
ORD00001068,CUST0077664,2025-04-03T10:56,beauty,148.87,dispatched,delivered,283
ORD00001069,CUST0007510,2025-02-13T00:51,fashion,30.4,dispatched,delivered,331
ORD00001070,CUST0174798,2025-05-16T18:26,electronics,140.31,dispatched,delivered,237
ORD00001071,CUST0116909,2025-04-12T19:41,fashion,219.49,dispatched,delivered,273
ORD00001072,CUST0126489,2025-06-25T02:35,fashion,70.57,dispatched,delivered,199
ORD00001073,CUST0133726,2025-01-19T11:37,grocery,60.53,dispatched,delivered,356
ORD00001074,CUST0191220,2025-12-06T11:38,electronics,648.88,dispatched,delivered,35
ORD00001075,CUST0181408,2025-09-12T22:05,electronics,391.86,dispatched,delivered,120
ORD00001076,CUST0066354,2025-10-14T21:05,electronics,491.74,dispatched,delivered,88
ORD00001077,CUST0199529,2025-11-19T21:58,electronics,399.52,dispatched,delivered,50
ORD00001078,CUST0094153,2025-07-02T19:49,home,66.88,processing,delivered,191
ORD00001079,CUST0027174,2025-10-14T20:40,fashion,85.47,dispatched,delivered,88
ORD00001080,CUST0106554,2025-07-18T08:28,sports,19.35,dispatched,delivered,176
ORD00001081,CUST0090909,2025-07-20T06:49,home,88.78,dispatched,delivered,175
ORD00001082,CUST0193812,2025-07-28T23:25,appliances,334.58,dispatched,delivered,166
ORD00001083,CUST0185796,2025-04-21T03:31,toys,169.42,dispatched,delayed,259
ORD00001084,CUST0075878,2025-03-08T05:58,sports,69.53,dispatched,delivered,307
ORD00001085,CUST0003084,2025-12-17T09:22,fashion,110.29,dispatched,delivered,23
ORD00001086,CUST0077772,2025-08-31T13:04,sports,218.79,dispatched,delivered,131
ORD00001087,CUST0078428,2025-09-06T13:04,toys,106.57,dispatched,delayed,117
ORD00001088,CUST0083675,2025-12-18T06:50,electronics,681.3,dispatched,delivered,23
ORD00001089,CUST0027685,2025-06-04T13:02,sports,117.07,processing,delivered,221
ORD00001090,CUST0006817,2025-01-12T04:19,fashion,40.0,dispatched,delivered,363
ORD00001091,CUST0093624,2025-03-20T22:05,toys,209.04,dispatched,delivered,296
ORD00001092,CUST0004242,2025-11-24T04:19,home,70.76,dispatched,delivered,47
ORD00001093,CUST0163410,2025-04-04T11:30,beauty,75.61,dispatched,delivered,279
ORD00001094,CUST0129871,2025-04-23T08:40,beauty,213.28,dispatched,delivered,262
ORD00001095,CUST0105892,2025-02-27T06:23,grocery,72.0,dispatched,delivered,316
ORD00001096,CUST0123003,2025-10-30T04:08,toys,23.92,dispatched,delivered,72
