order_id,return_requested,item_condition,return_status,return_eligible,proposed_refund
ORD00001001,0,damaged_item,not_requested,1,100.0
ORD00001002,0,damaged_item,not_requested,1,100.0
ORD00001003,0,damaged_item,not_requested,1,100.0
ORD00001004,1,damaged_item,requested,0,138.73
ORD00001005,0,damaged_item,not_requested,0,100.0
ORD00001006,0,damaged_item,not_requested,1,95.75
ORD00001007,0,damaged_item,not_requested,1,37.58
ORD00001008,0,damaged_item,not_requested,0,100.0
ORD00001009,1,damaged_item,requested,0,140.8
ORD00001010,1,damaged_item,requested,0,41.18
ORD00001011,0,damaged_item,not_requested,0,25.04
ORD00001012,0,damaged_item,not_requested,0,99.17
ORD00001013,0,damaged_item,not_requested,0,82.67
ORD00001014,0,damaged_item,not_requested,0,100.0
ORD00001015,0,damaged_item,not_requested,0,84.64
ORD00001016,0,damaged_item,not_requested,0,97.77
ORD00001017,1,damaged_item,requested,0,12.4
ORD00001018,0,damaged_item,not_requested,0,100.0
ORD00001019,0,damaged_item,not_requested,0,81.81
ORD00001020,0,damaged_item,not_requested,0,51.71
ORD00001021,1,damaged_item,requested,0,182.08
ORD00001022,0,damaged_item,not_requested,0,64.61
ORD00001023,1,damaged_item,requested,0,44.21
ORD00001024,0,damaged_item,not_requested,0,100.0
ORD00001025,0,damaged_item,not_requested,0,100.0
ORD00001026,0,damaged_item,not_requested,0,56.46
ORD00001027,0,damaged_item,not_requested,0,100.0
ORD00001028,1,damaged_item,requested,0,94.74
ORD00001029,0,damaged_item,not_requested,0,100.0
ORD00001030,0,damaged_item,not_requested,0,83.42
ORD00001031,0,damaged_item,not_requested,1,100.0
ORD00001032,1,damaged_item,requested,0,100.31
ORD00001033,0,damaged_item,not_requested,0,100.0
ORD00001034,0,damaged_item,not_requested,0,100.0
ORD00001035,0,damaged_item,not_requested,0,100.0
ORD00001036,1,damaged_item,requested,0,91.76
ORD00001037,0,damaged_item,not_requested,0,48.01
ORD00001038,1,damaged_item,requested,0,51.51
ORD00001039,0,damaged_item,not_requested,1,58.24
ORD00001040,1,damaged_item,requested,0,160.4
ORD00001041,1,damaged_item,requested,0,120.16
ORD00001042,0,damaged_item,not_requested,0,100.0
ORD00001043,0,damaged_item,not_requested,0,100.0
ORD00001044,0,damaged_item,not_requested,0,100.0
ORD00001045,0,damaged_item,not_requested,0,85.97
ORD00001046,0,damaged_item,not_requested,0,100.0
ORD00001047,1,damaged_item,requested,0,82.96
ORD00001048,1,damaged_item,requested,0,326.01
ORD00001049,0,damaged_item,not_requested,0,41.64
ORD00001050,0,damaged_item,not_requested,0,100.0
ORD00001051,0,damaged_item,not_requested,0,100.0
ORD00001052,0,damaged_item,not_requested,0,100.0
ORD00001053,1,damaged_item,requested,0,170.59
ORD00001054,0,damaged_item,not_requested,0,90.05
ORD00001055,1,damaged_item,requested,0,409.97
ORD00001056,0,damaged_item,not_requested,0,28.17
ORD00001057,0,damaged_item,not_requested,0,100.0
ORD00001058,1,damaged_item,requested,0,78.76
ORD00001059,1,damaged_item,requested,0,54.68
ORD00001060,0,damaged_item,not_requested,0,100.0
ORD00001061,0,damaged_item,not_requested,1,100.0
ORD00001062,0,damaged_item,not_requested,0,96.81
ORD00001063,0,damaged_item,not_requested,0,92.71
ORD00001064,1,damaged_item,requested,1,65.91
ORD00001065,1,damaged_item,requested,0,61.37
ORD00001066,1,damaged_item,requested,0,247.41
ORD00001067,0,damaged_item,not_requested,0,100.0
ORD00001068,0,damaged_item,not_requested,0,100.0
ORD00001069,1,damaged_item,requested,0,27.04
ORD00001070,0,damaged_item,not_requested,0,100.0
ORD00001071,0,damaged_item,not_requested,0,100.0
ORD00001072,1,damaged_item,requested,0,40.81
ORD00001073,0,damaged_item,not_requested,0,60.53
ORD00001074,0,damaged_item,not_requested,0,100.0
